parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct,eti_mean_pct,eti_2.5pc_pct,eti_97.5pc_pct
practice_intercept_offset[72],-0.595,0.034,-0.661,-0.545,0.011,0.005,10.0,34.0,2.13,-44.84374341321702,-48.36652585032456,-42.01582166601536,,,
practice_intercept_offset[73],0.21,0.036,0.139,0.289,0.012,0.009,9.0,15.0,3.17,23.36780599567432,14.91241000036052,33.509172852850845,,,
practice_intercept_offset[74],-1.158,0.045,-1.234,-1.092,0.015,0.006,9.0,25.0,2.74,-68.58862193650769,-70.88742574039148,-66.44552672957573,,,
practice_intercept_offset[75],0.301,0.039,0.214,0.371,0.014,0.01,9.0,19.0,3.27,35.12093415380156,23.862265479345226,44.91830733866446,,,
practice_intercept_offset[76],-1.326,0.051,-1.416,-1.247,0.017,0.007,10.0,24.0,2.52,-73.44627110129723,-75.7317190742377,-71.26343981874044,,,
practice_intercept_offset[77],-1.938,0.069,-2.046,-1.836,0.024,0.009,9.0,22.0,3.17,-85.6008354723141,-87.07491255440692,-84.05460319534949,,,
practice_intercept_offset[78],-1.186,0.045,-1.264,-1.12,0.016,0.007,9.0,24.0,2.84,-69.45594138586422,-71.74783233966365,-67.37202053769606,,,
practice_intercept_offset[79],0.626,0.051,0.529,0.697,0.018,0.008,9.0,14.0,3.52,87.01151378240854,69.7234225493002,100.77205021801538,,,
practice_intercept_offset[80],-0.084,0.029,-0.136,-0.036,0.01,0.004,9.0,23.0,2.9,-8.056874390487534,-12.71573675112807,-3.535970651687692,,,
practice_intercept_offset[81],0.231,0.037,0.17,0.286,0.013,0.004,10.0,23.0,2.56,25.98592394492314,18.530485132036542,33.10924552522916,,,
practice_intercept_offset[82],0.256,0.037,0.194,0.304,0.013,0.004,10.0,37.0,2.38,29.175272793970407,21.40962829562332,35.52690560896716,,,
practice_intercept_offset[83],0.656,0.051,0.559,0.729,0.018,0.008,9.0,12.0,3.78,92.7068622785935,74.89227028403494,107.3006564260992,,,
practice_intercept_offset[84],0.824,0.056,0.723,0.907,0.02,0.009,9.0,12.0,3.95,127.96000251241388,106.06057644771548,147.68807340649906,,,
practice_intercept_offset[85],0.82,0.057,0.717,0.901,0.02,0.009,9.0,12.0,3.93,127.04998375324055,104.8279146723384,146.20639444796984,,,
practice_intercept_offset[86],0.463,0.046,0.375,0.527,0.016,0.008,9.0,13.0,3.43,58.88333424160801,45.49914146182012,69.38431492486188,,,
practice_intercept_offset[87],-0.061,0.034,-0.129,-0.012,0.012,0.006,10.0,24.0,2.46,-5.917676022399032,-12.102603445441684,-1.1928287138069482,,,
practice_intercept_offset[88],1.121,0.065,1.015,1.209,0.023,0.008,9.0,14.0,3.69,206.7920590434333,175.93633973762812,235.01328440800268,,,
practice_intercept_offset[89],0.499,0.044,0.427,0.554,0.015,0.005,10.0,31.0,2.29,64.7073373515345,53.26526617240188,74.01999144695428,,,
practice_intercept_offset[90],0.375,0.041,0.303,0.429,0.014,0.006,9.0,18.0,2.62,45.49914146182012,35.391446444228826,53.57210343973493,,,
practice_intercept_offset[91],0.217,0.037,0.15,0.266,0.013,0.005,9.0,20.0,2.58,24.2344102137764,16.183424272828304,30.4735058686928,,,
practice_intercept_offset[92],1.248,0.069,1.136,1.348,0.024,0.009,9.0,16.0,3.27,248.3369247581368,211.42862725534616,284.9718389345979,,,
practice_intercept_offset[93],0.838,0.058,0.736,0.923,0.019,0.007,10.0,27.0,2.35,131.1738872474537,108.75685175861962,151.6829564213142,,,
practice_intercept_offset[94],0.556,0.046,0.473,0.616,0.016,0.006,9.0,13.0,2.91,74.36837970197381,60.480138297625885,85.15071812945382,,,
practice_intercept_offset[95],0.487,0.044,0.408,0.545,0.015,0.006,9.0,15.0,2.79,62.74266093785854,50.38071611701118,72.46083823764356,,,
practice_intercept_offset[96],0.707,0.051,0.619,0.777,0.018,0.007,9.0,12.0,3.21,102.78984286853743,85.70700429587728,117.49376555176345,,,
practice_intercept_offset[97],0.982,0.06,0.882,1.063,0.021,0.007,9.0,13.0,3.35,166.9790486880145,141.57263308455978,189.50431039036303,,,
practice_intercept_offset[98],0.426,0.042,0.351,0.482,0.015,0.006,9.0,17.0,2.64,53.11207751332474,42.04873259121951,61.93097853019272,,,
practice_intercept_offset[99],0.431,0.044,0.348,0.491,0.015,0.007,9.0,15.0,3.11,53.879554995686505,41.62322497400235,63.39493526055651,,,
practice_intercept_offset[100],0.486,0.045,0.399,0.547,0.016,0.007,9.0,15.0,3.1,62.57999962113414,49.03336186074026,72.80610506585812,,,
practice_intercept_offset[101],0.506,0.045,0.438,0.566,0.016,0.005,10.0,44.0,2.44,65.8643334750305,54.960490741950885,76.12081105217428,,,
practice_intercept_offset[102],0.957,0.059,0.87,1.036,0.021,0.006,9.0,27.0,2.8,160.38731248931538,138.69108535242765,181.79227498821072,,,
practice_intercept_offset[103],0.758,0.052,0.679,0.827,0.018,0.005,10.0,43.0,2.49,113.4003941758656,97.1904841108186,128.6449093665522,,,
practice_intercept_offset[104],0.119,0.035,0.057,0.169,0.012,0.005,10.0,20.0,2.42,12.636991828835288,5.865581039550016,18.412013892396928,,,
practice_intercept_offset[105],0.503,0.045,0.425,0.562,0.016,0.006,9.0,14.0,2.73,65.367486118276,52.95904196633787,75.41773489770915,,,
practice_intercept_offset[106],0.044,0.032,-0.012,0.093,0.011,0.004,10.0,29.0,2.52,4.498235488844382,-1.1928287138069482,9.7461735268082,,,
practice_intercept_offset[107],1.02,0.061,0.919,1.103,0.021,0.008,9.0,14.0,3.8,177.31947639642976,150.6782353773446,201.31920542942723,,,
