parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct
practice_intercept_offset[6081],-3.488,0.064,-3.594,-3.351,0.02,0.01,11.0,18.0,1.96,-96.94380650420075,-97.25118424058884,-96.49507127169247
practice_intercept_offset[6082],0.014,0.037,-0.04,0.085,0.012,0.004,12.0,52.0,1.8,1.4098458938492264,-3.9210560847676823,8.871706669839874
practice_intercept_offset[6083],-1.888,0.039,-1.953,-1.81,0.012,0.005,11.0,32.0,1.89,-84.8625745200809,-85.81521110346773,-83.63458631972959
practice_intercept_offset[6084],-1.959,0.039,-2.026,-1.882,0.012,0.005,12.0,33.0,1.85,-85.90006502053413,-86.81380846804294,-84.77147694777702
practice_intercept_offset[6085],-1.258,0.051,-1.34,-1.15,0.017,0.01,9.0,19.0,2.6,-71.57780977607825,-73.8154331419674,-68.33632306209468
practice_intercept_offset[6086],-1.857,0.032,-1.926,-1.797,0.009,0.005,13.0,18.0,1.63,-84.38596505130094,-85.4270045987057,-83.42044705243485
practice_intercept_offset[6087],-1.392,0.039,-1.459,-1.313,0.012,0.006,11.0,30.0,2.03,-75.14223481589202,-76.75313728386584,-73.09881908074935
practice_intercept_offset[6088],0.582,0.028,0.534,0.634,0.009,0.005,9.0,21.0,2.67,78.96140820710107,70.5741647451575,88.51360625139246
practice_intercept_offset[6089],-0.578,0.023,-0.618,-0.532,0.007,0.003,12.0,36.0,1.79,-43.89807161578294,-46.097859692364295,-41.25710638354766
practice_intercept_offset[6090],-0.04,0.042,-0.117,0.052,0.014,0.01,10.0,11.0,2.53,-3.9210560847676823,-11.041480683658866,5.337574251336474
practice_intercept_offset[6091],-0.437,0.042,-0.53,-0.352,0.014,0.011,9.0,14.0,2.56,-35.40285685893755,-41.139503032164484,-29.671987802365905
practice_intercept_offset[6092],-2.869,0.044,-2.963,-2.805,0.014,0.009,11.0,17.0,1.9,-94.32443461346578,-94.83363066266755,-93.94932288274195
practice_intercept_offset[6093],-0.834,0.038,-0.899,-0.762,0.012,0.006,10.0,29.0,2.47,-56.56914270760049,-59.302356724705184,-53.326797113450006
practice_intercept_offset[6094],-0.091,0.044,-0.174,0.002,0.013,0.008,12.0,15.0,1.76,-8.698228910073425,-15.970310234156859,0.2002001334000303
practice_intercept_offset[6095],-1.109,0.032,-1.166,-1.05,0.009,0.003,12.0,54.0,1.74,-67.0111315129315,-68.83891047200291,-65.00622508888448
practice_intercept_offset[6096],-0.721,0.041,-0.796,-0.642,0.01,0.002,16.0,114.0,1.41,-51.37342530009654,-54.88701205969577,-47.376110692289465
practice_intercept_offset[6097],-1.521,0.033,-1.577,-1.45,0.01,0.004,12.0,37.0,1.77,-78.1506715615237,-79.34060486849765,-76.54297119062024
practice_intercept_offset[6098],-0.332,0.037,-0.405,-0.264,0.012,0.006,11.0,35.0,2.07,-28.251267714555674,-33.302318914152565,-23.202646034329387
practice_intercept_offset[6099],-0.714,0.032,-0.769,-0.66,0.01,0.003,10.0,33.0,2.14,-51.03184514142638,-53.652368703673844,-48.31486655083008
practice_intercept_offset[6100],-0.16,0.037,-0.225,-0.096,0.012,0.003,11.0,48.0,1.85,-14.785621103378865,-20.148378124062294,-9.153598393129393
practice_intercept_offset[6101],-0.402,0.04,-0.467,-0.324,0.013,0.007,9.0,32.0,2.63,-33.10192543096533,-37.311990958762294,-27.674975762015762
practice_intercept_offset[6102],-0.69,0.043,-0.768,-0.599,0.014,0.008,10.0,18.0,2.23,-49.84239309339444,-53.60599789083533,-45.06392777725699
practice_intercept_offset[6103],-3.514,0.051,-3.612,-3.414,0.012,0.005,18.0,51.0,1.36,-97.02224343640876,-97.30022027597397,-96.70907004481009
practice_intercept_offset[6104],-2.002,0.035,-2.067,-1.932,0.009,0.004,15.0,37.0,1.45,-86.49351168396508,-87.34350925455662,-85.51418078103808
practice_intercept_offset[6105],-3.367,0.062,-3.484,-3.246,0.015,0.005,18.0,70.0,1.37,-96.55070388362593,-96.93155724803756,-96.1070384729283
practice_intercept_offset[6106],-1.011,0.038,-1.079,-0.936,0.01,0.003,14.0,65.0,1.52,-63.614505735924645,-66.00647089750396,-60.7806524106495
practice_intercept_offset[6107],-0.226,0.034,-0.28,-0.17,0.011,0.003,10.0,21.0,2.18,-20.228189833432573,-24.421625854427454,-15.63351834036163
practice_intercept_offset[6108],-1.069,0.038,-1.137,-0.995,0.01,0.003,14.0,68.0,1.52,-65.66483025024334,-67.92200804923834,-63.02765554559411
practice_intercept_offset[6109],-0.222,0.047,-0.305,-0.13,0.016,0.009,9.0,21.0,2.67,-19.908463566534085,-26.287662560837223,-12.190456907943869
practice_intercept_offset[6110],-3.332,0.051,-3.422,-3.233,0.015,0.007,11.0,35.0,1.84,-96.42784096039702,-96.73529245495831,-96.05609958770972
practice_intercept_offset[6111],-1.251,0.047,-1.334,-1.165,0.014,0.005,11.0,33.0,1.93,-71.37815647320105,-73.6578534745557,-68.80773379673532
practice_intercept_offset[6112],-1.103,0.043,-1.181,-1.016,0.011,0.004,16.0,54.0,1.41,-66.81260331299352,-69.3028386549301,-63.79597914565125
practice_intercept_offset[6113],-1.265,0.044,-1.344,-1.189,0.014,0.006,10.0,29.0,2.36,-71.77607038594766,-73.91996221188764,-69.5474362507881
practice_intercept_offset[6114],-2.434,0.048,-2.54,-2.346,0.013,0.008,13.0,26.0,1.59,-91.23146113914176,-92.1133600209325,-90.42485971640014
practice_intercept_offset[6115],-0.148,0.062,-0.273,-0.031,0.011,0.001,28.0,116.0,1.2,-13.75688850579545,-23.890721237106572,-3.0524426923974057
practice_intercept_offset[6116],-1.174,0.031,-1.234,-1.115,0.009,0.005,12.0,23.0,1.79,-69.08720468713196,-70.88742574039148,-67.20847211004116
practice_intercept_offset[6117],-0.39,0.037,-0.464,-0.327,0.012,0.007,9.0,21.0,2.58,-32.294312550183534,-37.123644553290156,-27.891625697339293
practice_intercept_offset[6118],-1.727,0.045,-1.831,-1.641,0.014,0.01,11.0,19.0,1.9,-82.21829382219892,-83.97467656125474,-80.62138407936999
practice_intercept_offset[6119],-1.637,0.046,-1.75,-1.554,0.014,0.01,11.0,19.0,1.92,-80.54371437984798,-82.62260565495548,-78.85993223464895
practice_intercept_offset[6120],-3.071,0.052,-3.173,-2.97,0.013,0.005,16.0,48.0,1.42,-95.36252430945837,-95.81222240629488,-94.86966896680809
practice_intercept_offset[6121],-2.515,0.046,-2.618,-2.427,0.014,0.008,12.0,22.0,1.78,-91.91370877932962,-92.70513857440649,-91.16986603576707
practice_intercept_offset[6122],-1.713,0.046,-1.822,-1.627,0.014,0.01,11.0,19.0,1.84,-81.96759916779486,-83.82979767324115,-80.34817545852816
practice_intercept_offset[6123],-2.004,0.048,-2.113,-1.915,0.014,0.009,12.0,21.0,1.71,-86.52049766562018,-87.91252024402314,-85.2658167413838
practice_intercept_offset[6124],-3.051,0.057,-3.166,-2.957,0.017,0.009,12.0,27.0,1.7,-95.26884108616792,-95.78280512276707,-94.80253926572686
practice_intercept_offset[6125],-2.57,0.049,-2.669,-2.474,0.01,0.004,23.0,68.0,1.25,-92.34644545760885,-93.06784878276872,-91.57528046569065
practice_intercept_offset[6126],-0.323,0.044,-0.417,-0.235,0.014,0.01,10.0,14.0,2.21,-27.602614563208473,-34.09790800558793,-20.94291503712644
practice_intercept_offset[6127],-3.67,0.244,-3.814,-3.588,0.043,0.151,15.0,42.0,1.48,-97.45235300533189,-97.79402368093703,-97.23464176824272
practice_intercept_offset[6128],-0.59,0.043,-0.688,-0.505,0.014,0.012,9.0,14.0,2.61,-44.56727152654929,-49.74197749745716,-39.64944245729595
practice_intercept_offset[6129],-0.494,0.037,-0.554,-0.422,0.012,0.006,10.0,35.0,2.52,-38.98192169093202,-42.53533794105343,-34.426596060655825
practice_intercept_offset[6130],-1.813,0.048,-1.894,-1.731,0.016,0.006,10.0,38.0,2.27,-83.683608989998,-84.95312714343264,-82.28927858274271
practice_intercept_offset[6131],-1.501,0.046,-1.58,-1.413,0.015,0.006,10.0,24.0,2.2,-77.70928584838175,-79.40249017951166,-75.65880491490702
practice_intercept_offset[6132],-1.124,0.035,-1.188,-1.062,0.011,0.005,10.0,24.0,2.14,-67.50227177939361,-69.51696845568031,-65.42364088406923
practice_intercept_offset[6133],-2.881,0.036,-2.968,-2.82,0.01,0.006,14.0,16.0,1.53,-94.39213438706724,-94.85939803723578,-94.03940572910606
practice_intercept_offset[6134],-0.372,0.04,-0.447,-0.301,0.013,0.006,10.0,14.0,2.4,-31.06457574757776,-36.04560917251991,-25.99222272532924
practice_intercept_offset[6135],-2.542,0.047,-2.645,-2.452,0.014,0.008,12.0,23.0,1.72,-92.12911753812094,-92.8994646260363,-91.38788282014558
practice_intercept_offset[6136],-1.101,0.044,-1.201,-1.016,0.014,0.01,11.0,17.0,2.01,-66.74616210055413,-69.91068317527906,-63.79597914565125
