parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct,eti_mean_pct,eti_2.5pc_pct,eti_97.5pc_pct
practice_slope_offset[5411],-0.828,0.073,-0.968,-0.684,0.004,0.001,309.0,2445.0,1.04,-56.30777424255589,-62.01580371486213,-49.54054280664488,,,
practice_slope_offset[5412],0.164,0.075,0.025,0.317,0.002,0.001,1201.0,2441.0,1.01,17.821431509272223,2.531512052442886,37.300257192545885,,,
practice_slope_offset[5413],-0.028,0.092,-0.195,0.161,0.003,0.001,819.0,1904.0,1.01,-2.761163319875315,-17.716534194398157,17.468496881387164,,,
practice_slope_offset[5414],-1.152,0.128,-1.406,-0.9,0.004,0.002,860.0,1719.0,1.01,-68.39958713081374,-75.48781879608826,-59.34303402594009,,,
practice_slope_offset[5415],2.169,0.128,1.918,2.415,0.005,0.002,765.0,1978.0,1.02,774.9530134382765,580.733018517904,1018.9770357552704,,,
practice_slope_offset[5416],1.236,0.077,1.087,1.39,0.004,0.001,441.0,2001.0,1.02,244.1818618988296,196.53646212045007,301.4850052994201,,,
practice_slope_offset[5417],0.97,0.077,0.821,1.121,0.002,0.001,1006.0,2571.0,1.02,163.79444593541527,127.2771472998368,206.7920590434333,,,
practice_slope_offset[5418],-0.839,0.069,-0.969,-0.703,0.003,0.001,561.0,2225.0,1.02,-56.78575501202597,-62.05376892537824,-50.49022197190565,,,
practice_slope_offset[5419],0.576,0.09,0.41,0.757,0.003,0.001,773.0,2481.0,1.02,77.89085463024783,50.681778511285344,113.18710044632896,,,
practice_slope_offset[5420],0.247,0.083,0.088,0.415,0.003,0.001,843.0,1760.0,1.02,28.017911277827,9.19881220281975,51.43707406920481,,,
practice_slope_offset[5421],-0.131,0.071,-0.27,0.006,0.002,0.001,848.0,2021.0,1.02,-12.278222560895646,-23.662050566314687,0.6018036054064924,,,
practice_slope_offset[5422],-0.066,0.085,-0.237,0.098,0.003,0.001,900.0,2148.0,1.02,-6.386913570838115,-21.100871198239023,10.296278510850776,,,
practice_slope_offset[5423],0.242,0.071,0.104,0.38,0.004,0.001,320.0,2261.0,1.03,27.379419281619487,10.960045491558246,46.228458943422446,,,
practice_slope_offset[5424],0.229,0.119,-0.01,0.459,0.004,0.002,953.0,1859.0,1.01,25.73420390098391,-0.9950166250832004,58.24907027825334,,,
practice_slope_offset[5425],-0.015,0.081,-0.173,0.145,0.002,0.001,1127.0,2533.0,1.01,-1.4888060396937353,-15.886238515537675,15.603957026802153,,,
practice_slope_offset[5426],0.236,0.084,0.078,0.405,0.003,0.001,785.0,2353.0,1.02,26.617431016687988,8.112265867008306,49.93025000567668,,,
