name,type,coef_pred,ci_pred,p_pred,coef_imd,ci_imd,p_imd,coef_int,ci_int,p_int,n_practices,n_obs,error
aqrean_ozone_values_x_imd,continuous_interaction,-0.6501778549814596,"(np.float64(-0.798807162054227), np.float64(-0.50132586237146))",1.347789482446544e-17,0.9166524584456104,"(np.float64(-0.8239441695912619), np.float64(2.6877975550232636))",0.3039844190132007,0.07868220126665548,"(np.float64(-0.0122035229020101), np.float64(0.16965053766551108))",0.08975534123842442,10408,907782,
aqrean_daqi_ozone_values,continuous,-0.6668833685293474,"(np.float64(-0.7884539373176791), np.float64(-0.5451638311604112))",9.233096531855415e-27,,"(nan, nan)",,,"(nan, nan)",,10391,898467,
aqrean_daqi_ozone_values_x_imd,continuous_interaction,-0.6775060396323362,"(np.float64(-0.7993143129404134), np.float64(-0.5555481982507771))",1.831491870966561e-27,1.0175289770218754,"(np.float64(-0.7305044574699826), np.float64(2.7963434774535))",0.25565184553681686,0.1123325487830007,"(np.float64(0.021000584892738594), np.float64(0.20374791043551443))",0.01591386477027767,10391,898467,
aqrean_pm2p5_values,continuous,-0.051838597536735254,"(np.float64(-0.16850788530068384), np.float64(0.06496703720970665))",0.38423544465735526,,"(nan, nan)",,,"(nan, nan)",,10408,907782,
aqrean_pm2p5_values_x_imd,continuous_interaction,-0.052327622457337686,"(np.float64(-0.1690093189455344), np.float64(0.0644904507030919))",0.379818036190805,0.7724880382975696,"(np.float64(-0.9653608797300373), np.float64(2.5408325373533547))",0.3859346755985039,-0.01465917519097859,"(np.float64(-0.10779125761565256), np.float64(0.07855973667600935))",0.7578267286857897,10408,907782,
aqrean_daqi_pm2p5_values,continuous,-0.19058062570095347,"(np.float64(-0.3189246499543552), np.float64(-0.062071352542436564))",0.0036637982560570473,,"(nan, nan)",,,"(nan, nan)",,10391,898467,
aqrean_daqi_pm2p5_values_x_imd,continuous_interaction,-0.19563989198079224,"(np.float64(-0.3241018018243502), np.float64(-0.067012420927548))",0.0028818442505138616,0.742876837509221,"(np.float64(-0.9998882384840369), np.float64(2.516320970890007))",0.405814291915198,-0.08770927222711,"(np.float64(-0.18211941562666922), np.float64(0.006790166548431564))",0.06888177363379061,10391,898467,
aqrean_pm10_values,continuous,0.04941520856920345,"(np.float64(-0.06599293185798327), np.float64(0.16495662733944094))",0.40150509461220085,,"(nan, nan)",,,"(nan, nan)",,10408,907782,
aqrean_pm10_values_x_imd,continuous_interaction,0.048776838456121574,"(np.float64(-0.06665793870375136), np.float64(0.16434495637598356))",0.4077245300572573,0.7675032087067546,"(np.float64(-0.9702289754763616), np.float64(2.535728376087798))",0.3889873255248688,-0.01806906420126486,"(np.float64(-0.11216945584263671), np.float64(0.0761199757134623))",0.7068133935669363,10408,907782,
aqrean_daqi_pm10_values,continuous,-0.2507708107069573,"(np.float64(-0.37372909018600353), np.float64(-0.12766077669214004))",6.612129139066374e-05,,"(nan, nan)",,,"(nan, nan)",,10391,898467,
aqrean_daqi_pm10_values_x_imd,continuous_interaction,-0.25560747776628423,"(np.float64(-0.3787632562043175), np.float64(-0.13229944920308823))",4.903992906555092e-05,0.7687742440504408,"(np.float64(-0.9744628722231918), np.float64(2.5426991579538205))",0.3897125728194446,-0.06208705689269012,"(np.float64(-0.15816762293749953), np.float64(0.03408597014720183))",0.2056840652305879,10391,898467,
aqrean_sulfur_dioxide_values,continuous,-0.38369723059559213,"(np.float64(-0.5074890629969575), np.float64(-0.2597513723522238))",1.3651062383186603e-09,,"(nan, nan)",,,"(nan, nan)",,10408,907782,
aqrean_sulfur_dioxide_values_x_imd,continuous_interaction,-0.3687498678936363,"(np.float64(-0.4938932830989895), np.float64(-0.24344906662538968))",8.362535374165466e-09,0.6710592504206359,"(np.float64(-1.0653024955218804), np.float64(2.437895159511383))",0.45118653400917064,0.09173592353297622,"(np.float64(-0.0262952690748941), np.float64(0.20990646640766109))",0.12772911118297972,10408,907782,
aqrean_daqi_sulfur_dioxide_values,continuous,-0.06152339526046546,"(np.float64(-0.1533828697601214), np.float64(0.030420590495539024))",0.1896248464817557,,"(nan, nan)",,,"(nan, nan)",,10391,898467,
aqrean_daqi_sulfur_dioxide_values_x_imd,continuous_interaction,-0.04208366036566602,"(np.float64(-0.14239560819495622), np.float64(0.058329055822103903))",0.41126248628794937,0.7546610938743648,"(np.float64(-0.9883070752778056), np.float64(2.5283118819066086))",0.3984349504321033,0.06939785327566561,"(np.float64(-0.07525249702279302), np.float64(0.21425759838735736))",0.3472360537030922,10391,898467,
