parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct,eti_mean_pct,eti_2.5pc_pct,eti_97.5pc_pct
practice_intercept_offset[3836],0.341,0.038,0.252,0.405,0.011,0.008,16.0,17.0,1.45,40.635324086216926,28.65960372848406,49.93025000567668,,,
practice_intercept_offset[3837],1.165,0.038,1.077,1.226,0.011,0.008,15.0,18.0,1.47,220.59228832028143,193.5858750229181,240.7571951524154,,,
practice_intercept_offset[3838],1.23,0.038,1.141,1.29,0.011,0.008,15.0,18.0,1.47,242.1229536289673,212.9896697456783,263.2786555752809,,,
practice_intercept_offset[3839],0.471,0.04,0.375,0.538,0.012,0.01,15.0,15.0,1.49,60.159498767440645,45.49914146182012,71.25782781873475,,,
practice_intercept_offset[3840],0.255,0.04,0.161,0.32,0.012,0.01,14.0,16.0,1.52,29.046162087288984,17.468496881387164,37.71277643359572,,,
practice_intercept_offset[3841],0.313,0.038,0.225,0.378,0.011,0.009,15.0,17.0,1.46,36.75215310276052,25.23227161918644,45.936294287579656,,,
practice_intercept_offset[3842],0.512,0.04,0.417,0.577,0.012,0.009,15.0,18.0,1.49,66.8625110139667,51.74025129350848,78.06883445996127,,,
practice_intercept_offset[3843],1.192,0.028,1.141,1.246,0.007,0.002,16.0,70.0,1.44,229.36619483452665,212.9896697456783,247.6409471182529,,,
practice_intercept_offset[3844],-0.97,0.05,-1.083,-0.883,0.013,0.01,18.0,19.0,1.35,-62.09169618966012,-66.14217342791646,-58.64595723954849,,,
practice_intercept_offset[3845],0.719,0.037,0.635,0.782,0.011,0.008,15.0,16.0,1.48,105.23798043075293,88.70221414587378,118.58395758838132,,,
practice_intercept_offset[3846],0.421,0.041,0.327,0.49,0.012,0.009,15.0,17.0,1.46,52.34842784087539,38.68014771803021,63.23162199553789,,,
