,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A82635],-0.738,0.228,-1.17,-0.313,0.001,0.001,26037.0,18705.0,1.0
1|practice_id[A82641],-0.803,0.231,-1.226,-0.355,0.001,0.001,24705.0,18264.0,1.0
1|practice_id[A82642],-0.0,0.202,-0.386,0.372,0.001,0.001,23315.0,17325.0,1.0
1|practice_id[A82646],0.69,0.091,0.52,0.858,0.0,0.001,35363.0,19336.0,1.0
1|practice_id[A82647],-0.087,0.09,-0.25,0.09,0.001,0.001,30945.0,19995.0,1.0
1|practice_id[A82650],0.067,0.09,-0.103,0.237,0.0,0.001,35425.0,18285.0,1.0
1|practice_id[A82651],-0.466,0.091,-0.636,-0.297,0.001,0.001,32009.0,19702.0,1.0
1|practice_id[A82654],0.281,0.092,0.105,0.45,0.001,0.001,31977.0,19454.0,1.0
1|practice_id[A83004],0.735,0.095,0.555,0.913,0.001,0.001,28533.0,19646.0,1.0
1|practice_id[A83005],0.05,0.09,-0.116,0.22,0.001,0.001,32007.0,19940.0,1.0
1|practice_id[A83006],-0.025,0.09,-0.194,0.146,0.0,0.001,33009.0,20014.0,1.0
1|practice_id[A83007],0.286,0.09,0.117,0.455,0.001,0.001,28342.0,17382.0,1.0
1|practice_id[A83008],0.044,0.091,-0.133,0.209,0.0,0.001,32884.0,19505.0,1.0
1|practice_id[A83009],0.406,0.09,0.237,0.577,0.0,0.001,35485.0,19968.0,1.0
1|practice_id[A83010],-0.099,0.09,-0.267,0.073,0.0,0.001,34940.0,19798.0,1.0
1|practice_id[A83012],0.492,0.09,0.327,0.663,0.0,0.001,33574.0,19602.0,1.0
1|practice_id[A83013],0.022,0.089,-0.143,0.19,0.0,0.001,33783.0,20855.0,1.0
1|practice_id[A83014],-0.124,0.091,-0.289,0.047,0.001,0.001,32501.0,19911.0,1.0
1|practice_id[A83015],-0.156,0.09,-0.325,0.013,0.001,0.001,31444.0,19726.0,1.0
1|practice_id[A83016],0.586,0.09,0.419,0.755,0.0,0.001,35609.0,18516.0,1.0
1|practice_id[A83017],0.268,0.097,0.091,0.456,0.001,0.001,30974.0,19080.0,1.0
1|practice_id[A83018],0.596,0.091,0.418,0.758,0.001,0.001,32192.0,18885.0,1.0
1|practice_id[A83019],0.147,0.099,-0.042,0.33,0.001,0.001,30199.0,18686.0,1.0
1|practice_id[A83021],0.247,0.09,0.072,0.412,0.0,0.001,33960.0,20408.0,1.0
1|practice_id[A83023],0.287,0.09,0.114,0.453,0.0,0.001,36060.0,20034.0,1.0
1|practice_id[A83024],-0.023,0.091,-0.193,0.148,0.0,0.001,33268.0,19050.0,1.0
1|practice_id[A83025],0.398,0.09,0.231,0.572,0.001,0.001,31560.0,18647.0,1.0
1|practice_id[A83026],-0.088,0.092,-0.263,0.082,0.0,0.001,35653.0,19326.0,1.0
