,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A83026],-0.092,0.092,-0.268,0.079,0.0,0.001,33809.0,19178.0,1.0
1|practice_id[A83027],0.21,0.09,0.037,0.377,0.001,0.001,31626.0,19655.0,1.0
1|practice_id[A83028],0.247,0.09,0.083,0.422,0.001,0.001,30924.0,19687.0,1.0
1|practice_id[A83029],-0.382,0.091,-0.556,-0.214,0.001,0.001,30190.0,19845.0,1.0
1|practice_id[A83031],0.148,0.09,-0.023,0.312,0.001,0.001,30056.0,19042.0,1.0
1|practice_id[A83032],0.086,0.09,-0.087,0.251,0.001,0.001,28681.0,18621.0,1.0
1|practice_id[A83033],-0.06,0.091,-0.225,0.116,0.0,0.001,37824.0,20037.0,1.0
1|practice_id[A83034],0.226,0.09,0.055,0.394,0.001,0.001,30296.0,19602.0,1.0
1|practice_id[A83037],0.418,0.09,0.247,0.585,0.001,0.001,26909.0,19084.0,1.0
1|practice_id[A83038],0.032,0.092,-0.146,0.2,0.0,0.001,34314.0,18689.0,1.0
1|practice_id[A83040],0.1,0.091,-0.074,0.267,0.001,0.001,29667.0,18640.0,1.0
1|practice_id[A83041],0.644,0.09,0.48,0.818,0.0,0.001,32786.0,20975.0,1.0
1|practice_id[A83042],0.46,0.114,0.251,0.68,0.001,0.001,26148.0,19367.0,1.0
1|practice_id[A83043],-0.205,0.09,-0.375,-0.037,0.001,0.001,29725.0,19057.0,1.0
1|practice_id[A83044],0.336,0.091,0.168,0.51,0.001,0.001,30674.0,19382.0,1.0
1|practice_id[A83045],0.095,0.09,-0.075,0.263,0.001,0.001,30498.0,20473.0,1.0
1|practice_id[A83046],0.29,0.091,0.118,0.458,0.001,0.001,29872.0,19615.0,1.0
1|practice_id[A83047],0.117,0.089,-0.051,0.284,0.001,0.001,30737.0,19710.0,1.0
1|practice_id[A83048],-0.006,0.09,-0.177,0.162,0.001,0.001,31758.0,20378.0,1.0
1|practice_id[A83049],0.048,0.09,-0.117,0.219,0.001,0.001,30276.0,20363.0,1.0
1|practice_id[A83050],0.01,0.091,-0.158,0.185,0.0,0.001,33234.0,19677.0,1.0
1|practice_id[A83051],-0.161,0.091,-0.331,0.008,0.001,0.001,31436.0,19722.0,1.0
1|practice_id[A83054],0.175,0.091,0.008,0.35,0.001,0.001,29416.0,19835.0,1.0
1|practice_id[A83055],-0.362,0.091,-0.537,-0.193,0.001,0.001,31759.0,19347.0,1.0
1|practice_id[A83057],-0.258,0.091,-0.43,-0.091,0.001,0.001,30620.0,20318.0,1.0
1|practice_id[A83060],0.188,0.091,0.017,0.359,0.001,0.001,30201.0,19743.0,1.0
1|practice_id[A83061],-0.109,0.09,-0.285,0.053,0.001,0.001,30656.0,19584.0,1.0
1|practice_id[A83066],0.017,0.09,-0.155,0.184,0.001,0.001,31922.0,20215.0,1.0
1|practice_id[A83068],-0.136,0.22,-0.549,0.277,0.001,0.001,27088.0,19226.0,1.0
1|practice_id[A83070],0.034,0.091,-0.143,0.199,0.001,0.001,30243.0,18632.0,1.0
1|practice_id[A83071],-0.373,0.09,-0.542,-0.205,0.0,0.001,32908.0,20251.0,1.0
1|practice_id[A83073],0.249,0.091,0.079,0.42,0.0,0.001,35333.0,21019.0,1.0
1|practice_id[A83074],0.247,0.09,0.08,0.418,0.0,0.001,33202.0,20025.0,1.0
1|practice_id[A83075],-0.475,0.09,-0.641,-0.303,0.001,0.001,31312.0,19296.0,1.0
1|practice_id[A83076],-0.065,0.11,-0.272,0.142,0.001,0.001,28607.0,19908.0,1.0
1|practice_id[A83610],-0.023,0.09,-0.196,0.142,0.001,0.001,30648.0,19713.0,1.0
1|practice_id[A83616],-0.311,0.09,-0.481,-0.143,0.001,0.001,29734.0,18398.0,1.0
1|practice_id[A83618],-0.081,0.09,-0.251,0.088,0.0,0.001,34113.0,20192.0,1.0
1|practice_id[A83619],-0.078,0.09,-0.244,0.092,0.001,0.001,29338.0,19866.0,1.0
1|practice_id[A83626],-0.159,0.089,-0.332,0.004,0.001,0.001,30680.0,18519.0,1.0
1|practice_id[A83627],0.352,0.091,0.181,0.523,0.001,0.001,30253.0,19038.0,1.0
1|practice_id[A83632],0.198,0.091,0.025,0.37,0.0,0.001,34063.0,17153.0,1.0
1|practice_id[A83634],0.111,0.09,-0.06,0.278,0.001,0.001,28648.0,19427.0,1.0
1|practice_id[A83635],0.318,0.09,0.148,0.483,0.001,0.001,27605.0,19732.0,1.0
1|practice_id[A83636],0.442,0.091,0.266,0.607,0.001,0.001,29887.0,19936.0,1.0
1|practice_id[A83637],-0.57,0.091,-0.741,-0.402,0.0,0.001,37633.0,19411.0,1.0
