name,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A83636],0.322,0.087,0.156,0.496,0.001,0.001,28488.0,18897.0,1.0
1|practice_id[A83637],-0.401,0.087,-0.57,-0.234,0.0,0.001,33079.0,19674.0,1.0
1|practice_id[A83638],-0.934,0.163,-1.251,-0.615,0.001,0.001,25210.0,18916.0,1.0
1|practice_id[A83641],0.119,0.086,-0.049,0.287,0.0,0.001,33664.0,19420.0,1.0
1|practice_id[A83644],0.236,0.087,0.065,0.407,0.0,0.001,36686.0,20107.0,1.0
1|practice_id[A84002],0.052,0.087,-0.118,0.223,0.0,0.001,34618.0,18857.0,1.0
1|practice_id[A84003],0.194,0.086,0.029,0.367,0.0,0.001,31856.0,19692.0,1.0
1|practice_id[A84005],-0.08,0.087,-0.25,0.091,0.0,0.001,32814.0,18232.0,1.0
1|practice_id[A84006],0.144,0.086,-0.023,0.314,0.001,0.001,27785.0,18914.0,1.0
1|practice_id[A84007],0.181,0.086,0.012,0.348,0.0,0.001,30854.0,19073.0,1.0
1|practice_id[A84008],-0.055,0.086,-0.221,0.113,0.001,0.001,27139.0,18689.0,1.0
1|practice_id[A84009],0.038,0.086,-0.133,0.208,0.0,0.001,30599.0,19615.0,1.0
1|practice_id[A84011],0.203,0.086,0.035,0.371,0.0,0.001,30041.0,19428.0,1.0
1|practice_id[A84013],-0.26,0.086,-0.428,-0.092,0.0,0.001,30429.0,19865.0,1.0
1|practice_id[A84014],0.043,0.087,-0.127,0.212,0.001,0.001,27590.0,18625.0,1.0
1|practice_id[A84015],-0.098,0.085,-0.264,0.069,0.0,0.001,33974.0,19897.0,1.0
