parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,mean_pct,hdi_2.5pc_pct,hdi_97.5pc_pct
slope_re_offset[3592],0.147,0.355,-0.409,1.283,0.153,0.15,6.0,14.0,1.94,15.835396302985538,-33.568576767778325,260.7445845821779
slope_re_offset[3593],0.026,0.345,-0.808,0.296,0.164,0.111,5.0,11.0,2.03,2.634094847344204,-55.42513273350398,34.44701568320527
slope_re_offset[3594],0.023,0.615,-1.304,0.506,0.296,0.202,5.0,32.0,2.08,2.326653954721758,-72.85561567878803,65.8643334750305
slope_re_offset[3595],-0.207,0.269,-0.808,0.019,0.122,0.091,5.0,15.0,2.28,-18.698035001242896,-55.42513273350398,1.9181648617407898
slope_re_offset[3596],-0.032,0.169,-0.355,0.495,0.047,0.064,13.0,19.0,1.43,-3.1493417920802402,-29.882655679142754,64.0498239057044
slope_re_offset[3597],0.128,0.309,-0.897,0.363,0.098,0.104,11.0,30.0,1.42,13.655300269706029,-59.22087998857738,43.76358592412095
slope_re_offset[3598],-0.232,0.602,-1.523,0.186,0.296,0.201,6.0,11.0,1.77,-20.705387669331632,-78.19432654886164,20.44222603776298
slope_re_offset[3599],0.16,0.372,-0.117,1.119,0.179,0.162,6.0,11.0,1.82,17.35108709918103,-11.041480683658866,206.17908810061292
slope_re_offset[3600],-0.509,0.7,-1.972,-0.046,0.338,0.211,6.0,25.0,1.92,-39.89036252610247,-86.08217787695163,-4.495803780928531
slope_re_offset[3601],-0.134,0.32,-0.933,0.175,0.135,0.104,7.0,26.0,1.86,-12.540993539666601,-60.66281770419779,19.124621661235807
slope_re_offset[3602],0.452,0.669,-0.011,1.964,0.321,0.225,6.0,13.0,1.78,57.145194857764906,-1.0939721224631271,612.7781243835722
slope_re_offset[3603],-0.35,0.313,-1.021,0.346,0.062,0.165,20.0,19.0,1.52,-29.531191028128656,-63.97654745297088,41.34026158176771
slope_re_offset[3604],0.472,0.493,0.106,1.564,0.241,0.18,5.0,12.0,2.38,60.319738372657405,11.182187650653086,377.78946514999285
slope_re_offset[3605],0.444,0.415,0.101,1.411,0.179,0.135,7.0,15.0,1.81,55.893048562191524,10.627664176342355,310.00534081357796
slope_re_offset[3606],0.219,0.22,-0.245,0.416,0.105,0.063,6.0,47.0,1.83,24.483127668753113,-21.729546175813187,51.5885868870569
slope_re_offset[3607],0.31,0.466,0.003,1.943,0.192,0.218,6.0,12.0,1.69,36.34251141321778,0.3004504503377081,597.9658569266431
slope_re_offset[3608],0.137,0.621,-1.301,0.624,0.291,0.186,5.0,12.0,2.27,14.682814852039815,-72.77406025385356,86.63786452864724
slope_re_offset[3609],-0.239,0.075,-0.389,-0.088,0.031,0.016,6.0,15.0,1.73,-21.258511762731203,-32.22657299860289,-8.423912327667438
slope_re_offset[3610],0.136,0.461,-0.189,1.579,0.198,0.21,7.0,13.0,2.04,14.568189359486183,-17.221349330526635,385.01032820951446
slope_re_offset[3611],-0.041,0.635,-1.317,0.448,0.313,0.195,5.0,12.0,2.19,-4.017087005220111,-73.20620888163822,56.517869565352164
slope_re_offset[3612],0.591,0.69,0.134,1.91,0.344,0.202,6.0,14.0,1.76,80.57933061082024,14.339281964464679,575.3088798531286
slope_re_offset[3613],-0.187,0.529,-1.533,0.199,0.234,0.19,5.0,23.0,2.19,-17.05562636145961,-78.41129662491181,22.018196589987248
slope_re_offset[3614],-0.002,0.562,-1.567,0.366,0.27,0.292,6.0,16.0,1.81,-0.1998001332666921,-79.13297449556819,44.19552426545161
slope_re_offset[3615],0.141,0.299,-0.65,0.804,0.095,0.128,10.0,11.0,1.6,15.142464798474409,-47.79542232389839,123.44609202967267
slope_re_offset[3616],0.449,0.609,0.013,1.598,0.303,0.175,5.0,26.0,1.95,56.67446571994515,1.3084867359809182,394.3136259010431
slope_re_offset[3617],0.206,0.119,-0.115,0.374,0.027,0.034,24.0,66.0,1.23,22.875320399531198,-10.863385609316866,45.35371504568524
slope_re_offset[3618],0.113,0.434,-0.253,0.999,0.213,0.131,5.0,13.0,1.97,11.963193294858598,-22.353211817626217,171.5564905318567
slope_re_offset[3619],0.335,0.382,-0.572,0.625,0.155,0.134,6.0,47.0,1.77,39.7940385222467,-43.56044818806416,86.82459574322223
slope_re_offset[3620],0.1,0.236,-0.433,0.335,0.106,0.073,5.0,21.0,2.22,10.517091807564771,-35.14395081950239,39.7940385222467
slope_re_offset[3621],0.019,0.293,-0.241,0.927,0.112,0.117,8.0,26.0,1.74,1.9181648617407898,-21.415837361165448,152.6917043979558
slope_re_offset[3622],0.037,0.288,-0.627,0.282,0.134,0.117,6.0,12.0,1.91,3.7693020838156954,-46.580802452851586,32.577871998679186
slope_re_offset[3623],0.291,0.437,-0.048,1.16,0.215,0.129,6.0,19.0,1.92,33.776458395003516,-4.6866212922495265,218.99332761161844
slope_re_offset[3624],-0.06,0.133,-0.397,0.269,0.042,0.052,11.0,15.0,1.54,-5.823546641575128,-32.76659743673428,30.865514104646664
slope_re_offset[3625],0.546,0.778,0.034,2.06,0.386,0.228,6.0,19.0,1.86,72.63338533505097,3.4584606728117917,684.5969810318448
slope_re_offset[3626],0.008,0.227,-0.188,0.672,0.108,0.122,7.0,11.0,1.63,0.8032085504273478,-17.13852927673194,95.81497063588058
slope_re_offset[3627],-0.077,0.431,-1.021,0.286,0.201,0.126,6.0,20.0,1.97,-7.411014639350466,-63.97654745297088,33.109245525229156
slope_re_offset[3628],-0.075,0.445,-1.385,0.604,0.201,0.209,7.0,11.0,1.76,-7.225651367144714,-74.9676200208304,82.94218719978595
slope_re_offset[3629],-0.041,0.152,-0.206,0.307,0.072,0.043,6.0,28.0,1.86,-4.017087005220111,-18.616692371707934,35.93409680719806
slope_re_offset[3630],0.276,0.267,-0.395,0.817,0.109,0.124,6.0,11.0,1.94,31.784786402730326,-32.631996075113236,126.36985450594862
slope_re_offset[3631],0.19,0.839,-0.359,2.124,0.385,0.265,6.0,20.0,1.81,20.92495976572515,-30.162564864842643,736.4528775692747
slope_re_offset[3632],0.387,0.52,-1.109,1.429,0.227,0.224,6.0,11.0,1.75,47.255649127313546,-67.0111315129315,317.45225813846434
slope_re_offset[3633],0.435,0.582,-0.969,0.849,0.273,0.238,5.0,13.0,2.05,54.49630589513384,-62.053768925378236,133.73083745076474
slope_re_offset[3634],0.111,0.192,-0.379,0.496,0.083,0.083,7.0,12.0,1.75,11.73949068544582,-31.545438733372176,64.21395578187052
slope_re_offset[3635],0.051,0.525,-0.747,1.841,0.215,0.224,6.0,11.0,1.78,5.232289328320383,-52.62142198240303,530.2837948606499
slope_re_offset[3636],0.636,0.238,0.388,1.265,0.108,0.103,5.0,13.0,2.12,88.89101074258497,47.40297842881416,254.30927361089815
slope_re_offset[3637],-0.082,0.438,-1.035,0.239,0.209,0.143,6.0,16.0,1.74,-7.872804130365141,-64.47736190750484,26.997853658383654
slope_re_offset[3638],-0.003,0.143,-0.215,0.27,0.066,0.042,6.0,12.0,1.88,-0.29955044966269995,-19.345855982267313,30.99644507332473
slope_re_offset[3639],0.991,0.523,-0.367,1.491,0.252,0.224,5.0,13.0,3.03,169.39270528874988,-30.71903549556083,344.1534833810129
slope_re_offset[3640],0.029,0.223,-0.38,0.746,0.045,0.104,27.0,18.0,1.55,2.9424594475130794,-31.613859078764417,110.85489299875869
slope_re_offset[3641],0.034,0.301,-0.554,0.284,0.148,0.087,5.0,36.0,2.33,3.4584606728117917,-42.53533794105343,32.84329307527947
slope_re_offset[3642],-0.196,0.527,-1.311,0.188,0.26,0.181,6.0,17.0,1.9,-17.79877653218135,-73.04496288066285,20.683351534960526
slope_re_offset[3643],0.372,0.25,-0.318,0.96,0.08,0.098,8.0,11.0,1.63,45.06329812931589,-27.239721158540455,161.16964734231178
slope_re_offset[3644],0.715,0.323,0.297,1.73,0.067,0.154,13.0,12.0,1.46,104.41866822585565,34.581529944809766,464.0653908428321
slope_re_offset[3645],-0.08,0.215,-0.645,0.107,0.096,0.081,7.0,15.0,1.74,-7.688365361336425,-47.533745789340706,11.29342544793257
slope_re_offset[3646],0.336,0.161,0.185,0.667,0.079,0.047,6.0,16.0,1.71,39.93390248109306,20.32184401276953,94.83833939544984
slope_re_offset[3647],0.632,0.233,0.037,0.966,0.099,0.114,6.0,13.0,1.77,88.13695581487633,3.7693020838156954,162.7413756962452
slope_re_offset[3648],-0.143,0.123,-0.394,-0.018,0.06,0.033,6.0,31.0,1.89,-13.324593110451099,-32.56459437595558,-1.7838967641699233
slope_re_offset[3649],0.204,0.162,-0.184,0.392,0.071,0.045,6.0,53.0,1.86,22.62981534562105,-16.806419617332825,47.993771140228844
slope_re_offset[3650],0.016,0.415,-1.205,0.676,0.185,0.198,8.0,11.0,1.68,1.6128685406094911,-70.03080004867537,96.59979912897259
slope_re_offset[3651],-0.065,0.307,-0.752,0.183,0.152,0.107,6.0,11.0,1.87,-6.293253662259657,-52.857723626086916,20.081440808083073
slope_re_offset[3652],0.057,0.218,-0.193,0.575,0.098,0.06,5.0,21.0,2.1,5.865581039550016,-17.55180258608918,77.71305269140383
slope_re_offset[3653],-0.054,0.145,-0.224,0.33,0.048,0.055,15.0,16.0,1.48,-5.256789349820168,-20.06848656306349,39.09681284637803
slope_re_offset[3654],-0.056,0.303,-0.279,0.881,0.14,0.152,8.0,11.0,1.56,-5.446086410960371,-24.34600967849526,141.33118119753973
slope_re_offset[3655],0.428,0.515,-0.65,1.748,0.243,0.232,5.0,11.0,2.12,53.41860809675796,-47.79542232389839,474.31049721901024
slope_re_offset[3656],0.261,0.496,-0.793,0.665,0.245,0.147,5.0,12.0,2.58,29.822766543368996,-54.75146988426833,94.44905213368311
slope_re_offset[3657],-0.647,0.65,-2.668,0.356,0.3,0.324,6.0,12.0,1.93,-47.63857343517366,-93.06091316432023,42.760754826384485
