,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A81605],-0.644,0.191,-1.005,-0.287,0.001,0.001,38321.0,18757.0,1.0
1|practice_id[A81608],-0.205,0.091,-0.373,-0.034,0.0,0.001,41265.0,19566.0,1.0
1|practice_id[A81609],0.502,0.21,0.123,0.912,0.001,0.001,34829.0,17991.0,1.0
1|practice_id[A81610],0.282,0.091,0.116,0.457,0.0,0.001,38511.0,18287.0,1.0
1|practice_id[A81611],-0.042,0.09,-0.213,0.123,0.0,0.001,38892.0,19707.0,1.0
1|practice_id[A81612],0.172,0.091,0.007,0.347,0.0,0.001,37416.0,19621.0,1.0
1|practice_id[A81613],-0.094,0.176,-0.42,0.236,0.001,0.001,31036.0,17973.0,1.0
1|practice_id[A81618],-0.047,0.09,-0.218,0.119,0.0,0.001,38032.0,18529.0,1.0
1|practice_id[A81621],-0.05,0.09,-0.22,0.119,0.0,0.001,41584.0,18549.0,1.0
1|practice_id[A81622],0.091,0.09,-0.078,0.261,0.0,0.001,36678.0,18771.0,1.0
1|practice_id[A81623],0.314,0.217,-0.092,0.719,0.001,0.001,35415.0,18153.0,1.0
1|practice_id[A81629],0.074,0.091,-0.098,0.243,0.0,0.001,40413.0,19382.0,1.0
1|practice_id[A81630],-0.276,0.09,-0.452,-0.113,0.0,0.001,35945.0,19834.0,1.0
1|practice_id[A81631],-0.247,0.09,-0.419,-0.08,0.0,0.001,36082.0,20378.0,1.0
1|practice_id[A81632],-0.577,0.099,-0.761,-0.389,0.0,0.001,39560.0,18773.0,1.0
1|practice_id[A81633],-0.456,0.092,-0.629,-0.284,0.0,0.001,41072.0,19092.0,1.0
1|practice_id[A81634],-0.192,0.092,-0.372,-0.026,0.0,0.001,38094.0,19277.0,1.0
1|practice_id[A82003],0.409,0.09,0.24,0.578,0.0,0.001,40306.0,18766.0,1.0
1|practice_id[A82004],-0.259,0.09,-0.435,-0.097,0.0,0.001,38156.0,20632.0,1.0
1|practice_id[A82005],0.126,0.091,-0.046,0.297,0.0,0.001,35898.0,18279.0,1.0
1|practice_id[A82006],0.438,0.09,0.265,0.604,0.0,0.001,40356.0,18814.0,1.0
1|practice_id[A82007],-0.111,0.09,-0.278,0.059,0.0,0.001,37550.0,19330.0,1.0
1|practice_id[A82008],0.142,0.089,-0.022,0.311,0.0,0.001,37559.0,18880.0,1.0
1|practice_id[A82009],0.401,0.09,0.235,0.576,0.0,0.001,37735.0,18682.0,1.0
1|practice_id[A82010],0.601,0.09,0.436,0.774,0.0,0.001,37719.0,18852.0,1.0
1|practice_id[A82011],0.05,0.259,-0.439,0.534,0.001,0.002,32875.0,18037.0,1.0
1|practice_id[A82012],0.39,0.089,0.22,0.555,0.0,0.001,38125.0,19378.0,1.0
1|practice_id[A82013],0.34,0.09,0.173,0.51,0.0,0.001,37538.0,19708.0,1.0
1|practice_id[A82014],0.647,0.091,0.477,0.82,0.0,0.001,35298.0,17999.0,1.0
1|practice_id[A82015],-0.231,0.091,-0.397,-0.058,0.0,0.001,38745.0,18868.0,1.0
1|practice_id[A82016],0.163,0.09,-0.001,0.337,0.0,0.001,37886.0,19636.0,1.0
1|practice_id[A82017],0.193,0.18,-0.16,0.516,0.001,0.001,31346.0,18246.0,1.0
1|practice_id[A82018],0.2,0.089,0.039,0.369,0.0,0.001,41010.0,18872.0,1.0
1|practice_id[A82019],0.302,0.09,0.134,0.473,0.0,0.001,33567.0,18956.0,1.0
1|practice_id[A82020],-0.074,0.091,-0.241,0.099,0.0,0.001,35151.0,19161.0,1.0
1|practice_id[A82021],0.196,0.091,0.026,0.368,0.0,0.001,37682.0,19259.0,1.0
1|practice_id[A82022],-0.18,0.091,-0.356,-0.015,0.0,0.001,35322.0,19937.0,1.0
1|practice_id[A82023],0.093,0.089,-0.075,0.258,0.0,0.001,38011.0,20021.0,1.0
1|practice_id[A82024],-0.065,0.09,-0.228,0.111,0.0,0.001,38652.0,17915.0,1.0
1|practice_id[A82025],-0.213,0.09,-0.38,-0.043,0.0,0.001,37711.0,19343.0,1.0
