name,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[K82618],-0.427,0.086,-0.594,-0.261,0.0,0.001,32410.0,20144.0,1.0
1|practice_id[K82621],0.406,0.086,0.235,0.571,0.0,0.001,31482.0,20458.0,1.0
1|practice_id[K82631],-0.005,0.087,-0.182,0.16,0.001,0.001,24244.0,18916.0,1.0
1|practice_id[K82633],0.05,0.085,-0.113,0.219,0.0,0.001,29922.0,19460.0,1.0
1|practice_id[K82634],-0.228,0.164,-0.552,0.093,0.001,0.001,23082.0,18613.0,1.0
1|practice_id[K82638],0.236,0.114,0.012,0.458,0.001,0.001,23442.0,19234.0,1.0
1|practice_id[K83002],0.466,0.086,0.299,0.637,0.0,0.001,30471.0,18672.0,1.0
1|practice_id[K83003],-0.297,0.088,-0.468,-0.123,0.0,0.001,31934.0,18512.0,1.0
1|practice_id[K83004],0.612,0.203,0.202,1.008,0.001,0.001,25794.0,18629.0,1.0
1|practice_id[K83005],0.065,0.086,-0.1,0.235,0.001,0.001,29213.0,20292.0,1.0
1|practice_id[K83006],0.437,0.085,0.272,0.604,0.0,0.001,30758.0,19320.0,1.0
1|practice_id[K83007],0.053,0.087,-0.119,0.221,0.001,0.001,27492.0,18744.0,1.0
1|practice_id[K83008],-0.213,0.088,-0.382,-0.04,0.001,0.0,26343.0,20414.0,1.0
1|practice_id[K83009],-0.199,0.087,-0.374,-0.031,0.001,0.001,29930.0,19481.0,1.0
1|practice_id[K83010],0.079,0.085,-0.091,0.241,0.0,0.0,30257.0,19773.0,1.0
1|practice_id[K83011],-0.032,0.086,-0.2,0.137,0.0,0.001,30738.0,19385.0,1.0
1|practice_id[K83012],0.218,0.085,0.048,0.381,0.0,0.001,30949.0,20390.0,1.0
1|practice_id[K83013],-0.113,0.085,-0.286,0.048,0.0,0.001,33007.0,20724.0,1.0
1|practice_id[K83014],0.021,0.087,-0.147,0.192,0.001,0.001,28567.0,20233.0,1.0
1|practice_id[K83015],-0.1,0.086,-0.274,0.062,0.0,0.001,31092.0,19932.0,1.0
1|practice_id[K83017],-0.344,0.086,-0.517,-0.181,0.001,0.001,28594.0,19684.0,1.0
1|practice_id[K83018],0.02,0.086,-0.148,0.188,0.0,0.001,30759.0,19549.0,1.0
1|practice_id[K83019],-0.307,0.086,-0.476,-0.142,0.001,0.001,28892.0,19432.0,1.0
1|practice_id[K83020],-0.293,0.088,-0.467,-0.123,0.001,0.001,27808.0,19693.0,1.0
1|practice_id[K83021],-0.038,0.086,-0.204,0.132,0.0,0.001,29602.0,19772.0,1.0
1|practice_id[K83022],-0.111,0.085,-0.275,0.056,0.0,0.001,31188.0,19217.0,1.0
1|practice_id[K83023],-0.056,0.086,-0.229,0.11,0.001,0.001,27592.0,18972.0,1.0
1|practice_id[K83024],0.573,0.086,0.404,0.741,0.0,0.001,30586.0,19589.0,1.0
1|practice_id[K83025],0.679,0.085,0.513,0.845,0.0,0.001,30198.0,19080.0,1.0
1|practice_id[K83026],0.067,0.086,-0.094,0.242,0.001,0.001,28436.0,19438.0,1.0
1|practice_id[K83027],0.076,0.087,-0.097,0.244,0.001,0.001,27986.0,20075.0,1.0
1|practice_id[K83028],-0.126,0.086,-0.294,0.043,0.0,0.001,29745.0,18020.0,1.0
1|practice_id[K83029],-0.064,0.085,-0.23,0.104,0.0,0.001,31367.0,19513.0,1.0
1|practice_id[K83030],0.119,0.086,-0.056,0.285,0.0,0.001,32458.0,20216.0,1.0
1|practice_id[K83031],0.154,0.085,-0.01,0.324,0.0,0.001,30785.0,19599.0,1.0
1|practice_id[K83032],-0.304,0.085,-0.472,-0.139,0.001,0.001,28973.0,18946.0,1.0
