name,type,coef_pred,ci_pred,p_pred,coef_imd,ci_imd,p_imd,coef_int,ci_int,p_int,n_practices,n_obs,error
aqrean_daqi_pm10_daqipair1,daqi_pair1,-4.257847072170973,"(np.float64(-5.285383366932129), np.float64(-3.219163281124815))",2.7126345483538445e-15,,"(nan, nan)",,,"(nan, nan)",,9567,848986,
aqrean_daqi_pm10_daqipair2,daqi_pair2,-1.191550946731068,"(np.float64(-1.5055729794142048), np.float64(-0.8765277423066209))",1.573299339661138e-13,,"(nan, nan)",,,"(nan, nan)",,9567,848986,
aqrean_sulfur_dioxide_high_vs_not,binary_simple,-1.7395561455568975,"(np.float64(-1.9850583900853147), np.float64(-1.493438980985906))",5.16237432280303e-43,,"(nan, nan)",,,"(nan, nan)",,9578,857809,
aqrean_daqi_sulfur_dioxide_daqipair1,daqi_pair1,,"(nan, nan)",,,"(nan, nan)",,,"(nan, nan)",,9567,848986,Singular matrix
aqrean_daqi_sulfur_dioxide_daqipair2,daqi_pair2,2.8965716538988717,"(np.float64(-24.888669653182383), np.float64(40.960150875220556))",0.858875014113502,,"(nan, nan)",,,"(nan, nan)",,9567,848986,
hydro_rain_values,continuous,0.030287429080222417,"(np.float64(-0.046648380872826856), np.float64(0.10728245784641377))",0.44046879501624225,,"(nan, nan)",,,"(nan, nan)",,10296,1311195,
hydro_rain_values_x_imd,continuous_interaction,0.028956666245605334,"(np.float64(-0.0479885087395826), np.float64(0.10596107525584486))",0.4608709754808815,0.9849986142280054,"(np.float64(0.23096571183416348), np.float64(1.7447040711448425))",0.010369262099088901,0.04423706930127835,"(np.float64(-0.029382456446214178), np.float64(0.11791080932395115))",0.23897793515272325,10296,1311195,
met_rain_values,continuous,0.05643253304685736,"(np.float64(-0.02379430763896906), np.float64(0.13672375251083668))",0.16804945156247875,,"(nan, nan)",,,"(nan, nan)",,8697,1158964,
met_rain_values_x_imd,continuous_interaction,0.05454711547128177,"(np.float64(-0.02596818031014303), np.float64(0.13512725522004665))",0.1842922451889354,0.25087111619013225,"(np.float64(-0.4949101058491445), np.float64(1.0022418978362424))",0.5107474580970861,0.018543320705788346,"(np.float64(-0.06037241076635169), np.float64(0.09752136672547262))",0.6452248946371524,8697,1158964,
met_tmax_values,continuous,1.11017161474678,"(np.float64(0.8512187748620725), np.float64(1.3697893605602474))",3.2192966117122896e-17,,"(nan, nan)",,,"(nan, nan)",,8697,1158964,
met_tmax_values_x_imd,continuous_interaction,1.1180615877433464,"(np.float64(0.858746017719092), np.float64(1.3780438779828597))",2.1255054140539208e-17,0.2671838944658944,"(np.float64(-0.478670541965287), np.float64(1.0186280757625843))",0.48366030177546193,-0.042129925262623935,"(np.float64(-0.11447575244194486), np.float64(0.030268301088143268))",0.2539891725333542,8697,1158964,
met_tmin_values,continuous,1.1304670179262066,"(np.float64(0.8873959887786498), np.float64(1.3741236853948902))",5.403281051480205e-20,,"(nan, nan)",,,"(nan, nan)",,8697,1158964,
met_tmin_values_x_imd,continuous_interaction,1.1320414350019847,"(np.float64(0.8887427821103078), np.float64(1.3759268157372828))",5.195411712074803e-20,0.2539507439605737,"(np.float64(-0.4917946406983731), np.float64(1.0052849760590954))",0.5055452615085325,-0.011922074311077058,"(np.float64(-0.08527040220664972), np.float64(0.06148009927098297))",0.7501529519266327,8697,1158964,
