,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A82060],0.555,0.105,0.354,0.749,0.001,0.001,29843.0,19579.0,1.0
1|practice_id[A82062],0.134,0.085,-0.026,0.294,0.001,0.001,27329.0,19693.0,1.0
1|practice_id[A82064],-0.245,0.095,-0.424,-0.068,0.0,0.001,42719.0,17427.0,1.0
1|practice_id[A82065],-0.254,0.086,-0.416,-0.093,0.0,0.001,32071.0,19946.0,1.0
1|practice_id[A82068],-0.155,0.086,-0.318,0.004,0.001,0.001,29445.0,18500.0,1.0
1|practice_id[A82071],0.05,0.085,-0.118,0.203,0.0,0.001,30674.0,18408.0,1.0
1|practice_id[A82072],0.725,0.086,0.557,0.883,0.001,0.001,28695.0,20076.0,1.0
1|practice_id[A82074],-0.595,0.128,-0.836,-0.356,0.001,0.001,25066.0,18683.0,1.0
1|practice_id[A82075],0.059,0.086,-0.108,0.215,0.0,0.001,31350.0,19806.0,1.0
1|practice_id[A82077],-0.064,0.085,-0.224,0.096,0.0,0.001,31722.0,19973.0,1.0
1|practice_id[A82608],0.015,0.085,-0.149,0.171,0.0,0.0,29825.0,19766.0,1.0
1|practice_id[A82613],-0.285,0.152,-0.572,-0.002,0.001,0.001,32325.0,19558.0,1.0
1|practice_id[A82617],0.523,0.085,0.358,0.678,0.001,0.001,28899.0,20172.0,1.0
1|practice_id[A82619],-0.03,0.217,-0.441,0.377,0.001,0.001,25690.0,17968.0,1.0
1|practice_id[A82621],-0.36,0.086,-0.524,-0.202,0.0,0.001,31806.0,18841.0,1.0
1|practice_id[A82623],0.139,0.086,-0.022,0.302,0.001,0.001,28354.0,19855.0,1.0
1|practice_id[A82629],0.089,0.086,-0.066,0.257,0.0,0.001,32780.0,20472.0,1.0
1|practice_id[A82631],0.364,0.086,0.205,0.527,0.0,0.001,31895.0,20053.0,1.0
1|practice_id[A82635],-0.161,0.221,-0.571,0.257,0.001,0.001,22078.0,18894.0,1.0
