station_id,kind,mean_flagged,mean_nonflagged,rel_change,n_flagged,n_nonflagged,p_value
B86070,flood,201.66666666666666,176.50877192982455,0.1425305635614627,3,57,0.13113105905872208
B86071,flood,368.8,360.0181818181818,0.024392707438950556,5,55,0.4222681518964502
B86075,flood,616.5,512.7678571428571,0.20229845028691185,4,56,0.05405179781119212
B86081,flood,553.0,491.6607142857143,0.12475937965325297,4,56,0.15485562749615722
B86086,flood,209.2,202.61818181818182,0.03248384781032057,5,55,0.6784024228200985
B86089,flood,305.0,305.07142857142856,-0.00023413720440095874,4,56,0.9645405316778579
B86092,flood,364.0,346.4107142857143,0.050775813186100166,4,56,0.3505039247952658
B86093,flood,219.75,205.41071428571428,0.06980787620586727,4,56,0.29956074391838927
B86094,flood,193.2,191.07272727272726,0.011133314301968558,5,55,0.6686020755725393
B86096,flood,185.0,184.5090909090909,0.002660622782799973,5,55,0.6300883027362387
