,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A82044],0.294,0.096,0.116,0.477,0.0,0.001,42514.0,17485.0,1.0
1|practice_id[A82045],0.088,0.088,-0.073,0.255,0.0,0.001,32580.0,20334.0,1.0
1|practice_id[A82047],-0.471,0.088,-0.638,-0.308,0.0,0.001,31357.0,20301.0,1.0
1|practice_id[A82048],0.307,0.088,0.143,0.474,0.0,0.001,31625.0,19374.0,1.0
1|practice_id[A82049],0.598,0.088,0.429,0.759,0.0,0.001,31498.0,19507.0,1.0
1|practice_id[A82050],0.583,0.088,0.416,0.748,0.0,0.001,31772.0,18846.0,1.0
1|practice_id[A82052],0.14,0.171,-0.187,0.454,0.001,0.001,24268.0,19423.0,1.0
1|practice_id[A82053],-0.427,0.087,-0.585,-0.256,0.0,0.001,31828.0,19193.0,1.0
1|practice_id[A82055],0.32,0.088,0.157,0.487,0.0,0.001,33281.0,19309.0,1.0
1|practice_id[A82057],0.165,0.178,-0.166,0.5,0.001,0.001,27995.0,18285.0,1.0
1|practice_id[A82058],0.49,0.087,0.33,0.658,0.001,0.001,28945.0,19891.0,1.0
1|practice_id[A82060],0.54,0.105,0.335,0.731,0.001,0.001,29292.0,19457.0,1.0
1|practice_id[A82062],0.031,0.088,-0.134,0.194,0.0,0.001,32882.0,19293.0,1.0
1|practice_id[A82064],-0.246,0.097,-0.431,-0.067,0.0,0.001,46618.0,17876.0,1.0
1|practice_id[A82065],0.205,0.087,0.037,0.365,0.0,0.001,32166.0,20218.0,1.0
1|practice_id[A82068],-0.095,0.088,-0.258,0.075,0.0,0.001,32639.0,19319.0,1.0
1|practice_id[A82071],0.61,0.086,0.454,0.778,0.0,0.001,30415.0,20376.0,1.0
1|practice_id[A82072],0.607,0.088,0.441,0.772,0.0,0.001,33938.0,19531.0,1.0
1|practice_id[A82074],-0.495,0.122,-0.724,-0.266,0.001,0.001,26852.0,19484.0,1.0
1|practice_id[A82075],0.083,0.088,-0.083,0.249,0.0,0.001,32294.0,20266.0,1.0
1|practice_id[A82077],0.271,0.088,0.102,0.434,0.0,0.001,32235.0,18996.0,1.0
1|practice_id[A82608],-0.508,0.088,-0.672,-0.342,0.0,0.001,32157.0,21237.0,1.0
1|practice_id[A82613],-0.268,0.159,-0.563,0.034,0.001,0.001,38239.0,18811.0,1.0
1|practice_id[A82617],-0.083,0.087,-0.244,0.086,0.001,0.001,30313.0,19281.0,1.0
1|practice_id[A82619],-0.613,0.228,-1.035,-0.181,0.001,0.001,26550.0,18919.0,1.0
1|practice_id[A82621],-0.271,0.087,-0.437,-0.107,0.0,0.001,31268.0,19078.0,1.0
1|practice_id[A82623],0.138,0.088,-0.028,0.304,0.0,0.001,33235.0,20025.0,1.0
1|practice_id[A82629],0.376,0.088,0.21,0.54,0.0,0.001,31461.0,19981.0,1.0
1|practice_id[A82631],-0.206,0.088,-0.375,-0.042,0.0,0.001,31391.0,18992.0,1.0
1|practice_id[A82635],-0.801,0.219,-1.196,-0.375,0.001,0.001,25230.0,18620.0,1.0
1|practice_id[A82641],-0.938,0.215,-1.342,-0.537,0.001,0.001,27569.0,17827.0,1.0
1|practice_id[A82642],0.796,0.197,0.415,1.159,0.001,0.001,28765.0,18081.0,1.0
1|practice_id[A82646],0.271,0.087,0.107,0.433,0.0,0.001,31260.0,20244.0,1.0
1|practice_id[A82647],-0.241,0.087,-0.406,-0.076,0.001,0.001,29890.0,19585.0,1.0
1|practice_id[A82650],0.021,0.088,-0.146,0.186,0.001,0.001,29955.0,19483.0,1.0
1|practice_id[A82651],-0.542,0.089,-0.708,-0.376,0.001,0.001,29188.0,18990.0,1.0
