name,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
1|practice_id[A82012],0.023,0.088,-0.15,0.194,0.001,0.001,27397.0,18829.0,1.0
1|practice_id[A82013],0.106,0.088,-0.069,0.277,0.001,0.001,29410.0,19650.0,1.0
1|practice_id[A82014],0.89,0.087,0.72,1.061,0.001,0.001,28053.0,19930.0,1.0
1|practice_id[A82015],-0.118,0.088,-0.286,0.059,0.001,0.001,29814.0,19637.0,1.0
1|practice_id[A82016],0.212,0.088,0.037,0.385,0.001,0.001,30390.0,19391.0,1.0
1|practice_id[A82017],-0.052,0.174,-0.394,0.284,0.001,0.001,27563.0,19058.0,1.0
1|practice_id[A82018],0.004,0.089,-0.176,0.174,0.001,0.001,29757.0,18158.0,1.0
1|practice_id[A82019],0.414,0.088,0.238,0.584,0.001,0.001,28716.0,18453.0,1.0
1|practice_id[A82020],0.068,0.089,-0.104,0.246,0.001,0.001,28855.0,18788.0,1.0
1|practice_id[A82021],0.185,0.088,0.009,0.352,0.001,0.001,30452.0,19910.0,1.0
1|practice_id[A82022],-0.161,0.088,-0.335,0.009,0.0,0.001,32305.0,19025.0,1.0
1|practice_id[A82023],0.002,0.089,-0.171,0.176,0.001,0.001,25374.0,19104.0,1.0
1|practice_id[A82024],-0.251,0.088,-0.43,-0.084,0.0,0.001,33749.0,19209.0,1.0
1|practice_id[A82025],-0.172,0.088,-0.341,0.003,0.001,0.001,29816.0,18417.0,1.0
1|practice_id[A82026],0.081,0.088,-0.088,0.255,0.001,0.001,28664.0,20449.0,1.0
1|practice_id[A82027],-0.299,0.089,-0.466,-0.12,0.001,0.001,29211.0,20016.0,1.0
1|practice_id[A82029],0.134,0.088,-0.039,0.307,0.001,0.001,29957.0,20412.0,1.0
1|practice_id[A82030],0.07,0.088,-0.098,0.243,0.001,0.001,30766.0,18500.0,1.0
1|practice_id[A82031],0.237,0.088,0.063,0.408,0.001,0.001,30695.0,19908.0,1.0
1|practice_id[A82032],0.068,0.088,-0.103,0.242,0.001,0.001,29124.0,20229.0,1.0
1|practice_id[A82033],0.424,0.089,0.249,0.595,0.0,0.001,33025.0,19088.0,1.0
1|practice_id[A82034],0.306,0.094,0.124,0.49,0.001,0.001,28621.0,18880.0,1.0
1|practice_id[A82035],0.344,0.088,0.172,0.515,0.001,0.001,28639.0,18989.0,1.0
1|practice_id[A82036],0.024,0.087,-0.15,0.192,0.0,0.001,31792.0,19539.0,1.0
1|practice_id[A82037],-0.213,0.088,-0.389,-0.043,0.001,0.001,29409.0,19602.0,1.0
1|practice_id[A82038],0.071,0.09,-0.103,0.245,0.0,0.001,33767.0,18721.0,1.0
1|practice_id[A82039],0.445,0.088,0.27,0.613,0.001,0.001,27804.0,18837.0,1.0
1|practice_id[A82040],-0.563,0.169,-0.894,-0.233,0.001,0.001,25256.0,18821.0,1.0
1|practice_id[A82041],-0.165,0.088,-0.333,0.011,0.001,0.001,29648.0,19448.0,1.0
1|practice_id[A82044],0.29,0.099,0.102,0.486,0.001,0.001,38030.0,17952.0,1.0
1|practice_id[A82045],0.083,0.088,-0.089,0.258,0.001,0.001,30562.0,19564.0,1.0
1|practice_id[A82047],-0.48,0.087,-0.645,-0.305,0.001,0.001,26333.0,19421.0,1.0
1|practice_id[A82048],0.3,0.087,0.134,0.473,0.001,0.001,27911.0,19677.0,1.0
1|practice_id[A82049],0.591,0.089,0.421,0.771,0.001,0.001,28397.0,18887.0,1.0
1|practice_id[A82050],0.574,0.088,0.407,0.75,0.001,0.001,30093.0,19179.0,1.0
1|practice_id[A82052],0.14,0.172,-0.193,0.473,0.001,0.001,26956.0,18854.0,1.0
1|practice_id[A82053],-0.432,0.089,-0.603,-0.252,0.001,0.001,29395.0,18838.0,1.0
1|practice_id[A82055],0.314,0.087,0.137,0.479,0.001,0.001,29955.0,20196.0,1.0
1|practice_id[A82057],0.163,0.175,-0.177,0.506,0.001,0.001,24070.0,17869.0,1.0
1|practice_id[A82058],0.486,0.088,0.308,0.654,0.001,0.001,30990.0,18867.0,1.0
1|practice_id[A82060],0.538,0.105,0.332,0.745,0.001,0.001,28018.0,19432.0,1.0
1|practice_id[A82062],0.027,0.088,-0.148,0.194,0.001,0.001,30931.0,20000.0,1.0
1|practice_id[A82064],-0.25,0.097,-0.442,-0.062,0.0,0.001,38691.0,18213.0,1.0
1|practice_id[A82065],0.2,0.088,0.026,0.37,0.001,0.001,29059.0,19425.0,1.0
1|practice_id[A82068],-0.099,0.088,-0.264,0.08,0.0,0.001,33990.0,19283.0,1.0
1|practice_id[A82071],0.607,0.088,0.432,0.777,0.0,0.001,32219.0,19543.0,1.0
1|practice_id[A82072],0.602,0.088,0.425,0.77,0.001,0.001,29288.0,19485.0,1.0
1|practice_id[A82074],-0.496,0.122,-0.729,-0.253,0.001,0.001,23304.0,19211.0,1.0
1|practice_id[A82075],0.08,0.088,-0.093,0.252,0.001,0.001,29127.0,19558.0,1.0
1|practice_id[A82077],0.267,0.087,0.097,0.44,0.001,0.001,29965.0,19064.0,1.0
1|practice_id[A82608],-0.511,0.089,-0.683,-0.336,0.0,0.001,32254.0,19810.0,1.0
1|practice_id[A82613],-0.27,0.158,-0.583,0.032,0.001,0.001,33349.0,18729.0,1.0
1|practice_id[A82617],-0.087,0.088,-0.263,0.081,0.0,0.001,30918.0,19145.0,1.0
1|practice_id[A82619],-0.612,0.226,-1.067,-0.179,0.001,0.001,25327.0,18779.0,1.0
1|practice_id[A82621],-0.275,0.089,-0.452,-0.105,0.001,0.001,29837.0,19943.0,1.0
1|practice_id[A82623],0.13,0.088,-0.037,0.306,0.001,0.001,28626.0,19096.0,1.0
1|practice_id[A82629],0.372,0.088,0.192,0.54,0.001,0.001,28707.0,19091.0,1.0
1|practice_id[A82631],-0.212,0.088,-0.382,-0.04,0.0,0.001,33172.0,18572.0,1.0
1|practice_id[A82635],-0.8,0.218,-1.23,-0.377,0.001,0.001,26377.0,18272.0,1.0
1|practice_id[A82641],-0.935,0.211,-1.349,-0.523,0.001,0.001,24524.0,19069.0,1.0
1|practice_id[A82642],0.811,0.202,0.42,1.207,0.001,0.001,24474.0,18861.0,1.0
1|practice_id[A82646],0.267,0.088,0.089,0.436,0.001,0.001,28950.0,19065.0,1.0
1|practice_id[A82647],-0.246,0.087,-0.415,-0.076,0.001,0.001,28208.0,19499.0,1.0
1|practice_id[A82650],0.02,0.088,-0.153,0.192,0.001,0.001,27721.0,19579.0,1.0
1|practice_id[A82651],-0.544,0.089,-0.721,-0.373,0.001,0.001,29834.0,18841.0,1.0
1|practice_id[A82654],0.336,0.088,0.163,0.506,0.0,0.001,31547.0,19743.0,1.0
1|practice_id[A83004],0.852,0.092,0.677,1.035,0.001,0.001,31006.0,19727.0,1.0
1|practice_id[A83005],-0.425,0.088,-0.594,-0.25,0.001,0.001,30224.0,19483.0,1.0
1|practice_id[A83006],0.053,0.088,-0.119,0.222,0.001,0.001,30446.0,20524.0,1.0
1|practice_id[A83007],0.309,0.088,0.141,0.484,0.0,0.001,32769.0,19275.0,1.0
1|practice_id[A83008],0.033,0.088,-0.142,0.202,0.001,0.001,26008.0,18187.0,1.0
1|practice_id[A83009],0.486,0.088,0.314,0.656,0.001,0.001,30014.0,18965.0,1.0
1|practice_id[A83010],-0.156,0.088,-0.33,0.015,0.001,0.001,30068.0,20216.0,1.0
1|practice_id[A83012],0.626,0.087,0.449,0.791,0.001,0.001,30045.0,18988.0,1.0
1|practice_id[A83013],0.06,0.087,-0.108,0.236,0.0,0.001,31022.0,18395.0,1.0
1|practice_id[A83014],-0.15,0.088,-0.325,0.019,0.0,0.001,33211.0,19919.0,1.0
1|practice_id[A83015],-0.144,0.087,-0.31,0.031,0.001,0.001,29919.0,19921.0,1.0
1|practice_id[A83016],0.279,0.089,0.107,0.454,0.0,0.001,33309.0,20312.0,1.0
1|practice_id[A83017],0.321,0.093,0.14,0.506,0.001,0.001,30211.0,19754.0,1.0
1|practice_id[A83018],0.754,0.088,0.584,0.925,0.0,0.001,32183.0,20088.0,1.0
1|practice_id[A83019],0.012,0.095,-0.178,0.195,0.001,0.001,27861.0,19985.0,1.0
1|practice_id[A83021],0.003,0.087,-0.167,0.172,0.001,0.001,29029.0,18940.0,1.0
1|practice_id[A83023],0.309,0.09,0.134,0.486,0.0,0.001,33608.0,18965.0,1.0
1|practice_id[A83024],-0.011,0.088,-0.18,0.163,0.001,0.001,30344.0,19117.0,1.0
1|practice_id[A83025],0.421,0.089,0.249,0.598,0.001,0.001,30806.0,19880.0,1.0
1|practice_id[A83026],-0.198,0.09,-0.369,-0.019,0.0,0.001,36089.0,18659.0,1.0
1|practice_id[A83027],0.172,0.087,0.006,0.346,0.0,0.001,32982.0,21062.0,1.0
1|practice_id[A83028],0.191,0.087,0.023,0.365,0.0,0.001,31233.0,19092.0,1.0
1|practice_id[A83029],-0.137,0.087,-0.309,0.031,0.001,0.001,28340.0,20326.0,1.0
1|practice_id[A83031],0.206,0.088,0.034,0.381,0.0,0.001,31883.0,19475.0,1.0
1|practice_id[A83032],-0.204,0.088,-0.374,-0.032,0.001,0.001,30037.0,18231.0,1.0
1|practice_id[A83033],-0.12,0.089,-0.295,0.052,0.0,0.001,33827.0,18852.0,1.0
1|practice_id[A83034],0.058,0.088,-0.112,0.232,0.001,0.001,29666.0,19968.0,1.0
1|practice_id[A83037],0.69,0.088,0.516,0.864,0.001,0.001,30271.0,18749.0,1.0
1|practice_id[A83038],-0.197,0.089,-0.37,-0.021,0.0,0.001,34421.0,20061.0,1.0
1|practice_id[A83040],0.21,0.088,0.041,0.384,0.001,0.001,29955.0,19089.0,1.0
1|practice_id[A83041],0.463,0.089,0.287,0.634,0.001,0.001,29746.0,19007.0,1.0
1|practice_id[A83042],-0.18,0.105,-0.39,0.022,0.001,0.001,28576.0,18772.0,1.0
1|practice_id[A83043],0.163,0.087,-0.014,0.327,0.001,0.001,28027.0,18691.0,1.0
1|practice_id[A83044],0.153,0.088,-0.027,0.321,0.001,0.001,26656.0,18737.0,1.0
1|practice_id[A83045],-0.039,0.088,-0.213,0.13,0.001,0.001,27495.0,18773.0,1.0
1|practice_id[A83046],0.438,0.088,0.27,0.617,0.001,0.001,29883.0,18988.0,1.0
1|practice_id[A83047],0.254,0.089,0.082,0.428,0.001,0.001,30729.0,19495.0,1.0
1|practice_id[A83048],-0.114,0.088,-0.284,0.057,0.001,0.001,28933.0,19913.0,1.0
1|practice_id[A83049],-0.008,0.088,-0.183,0.159,0.001,0.001,30358.0,20444.0,1.0
1|practice_id[A83050],0.017,0.089,-0.159,0.189,0.0,0.001,33461.0,19655.0,1.0
1|practice_id[A83051],0.143,0.089,-0.028,0.318,0.0,0.001,31847.0,19951.0,1.0
1|practice_id[A83054],-0.07,0.088,-0.237,0.106,0.001,0.001,27832.0,18921.0,1.0
1|practice_id[A83055],-0.137,0.087,-0.309,0.033,0.001,0.001,28694.0,19180.0,1.0
1|practice_id[A83057],-0.175,0.088,-0.351,-0.003,0.001,0.001,27083.0,18868.0,1.0
1|practice_id[A83060],-0.131,0.088,-0.305,0.04,0.0,0.001,31325.0,20272.0,1.0
1|practice_id[A83061],-0.253,0.088,-0.425,-0.079,0.001,0.001,28796.0,18302.0,1.0
1|practice_id[A83066],0.123,0.087,-0.054,0.288,0.0,0.001,31960.0,19528.0,1.0
1|practice_id[A83068],-0.255,0.215,-0.676,0.164,0.001,0.001,21741.0,18184.0,1.0
1|practice_id[A83070],-0.089,0.089,-0.26,0.085,0.001,0.001,29842.0,18424.0,1.0
1|practice_id[A83071],-0.238,0.088,-0.41,-0.068,0.0,0.001,31562.0,20256.0,1.0
1|practice_id[A83073],0.045,0.088,-0.122,0.221,0.0,0.001,34195.0,19982.0,1.0
1|practice_id[A83074],0.585,0.089,0.413,0.759,0.001,0.001,29358.0,19157.0,1.0
1|practice_id[A83075],-0.375,0.088,-0.549,-0.206,0.001,0.001,28619.0,19718.0,1.0
1|practice_id[A83076],0.094,0.104,-0.111,0.299,0.001,0.001,25892.0,19425.0,1.0
1|practice_id[A83610],-0.12,0.088,-0.292,0.053,0.0,0.001,31077.0,19924.0,1.0
1|practice_id[A83616],-0.287,0.087,-0.458,-0.118,0.001,0.001,26666.0,19281.0,1.0
1|practice_id[A83618],-0.041,0.088,-0.209,0.132,0.001,0.001,30356.0,19551.0,1.0
1|practice_id[A83619],0.098,0.088,-0.07,0.276,0.001,0.001,27908.0,19911.0,1.0
1|practice_id[A83626],-0.331,0.088,-0.503,-0.155,0.001,0.001,27814.0,17988.0,1.0
1|practice_id[A83627],0.458,0.088,0.284,0.627,0.001,0.001,30736.0,19602.0,1.0
1|practice_id[A83632],0.377,0.089,0.205,0.556,0.0,0.001,33569.0,19589.0,1.0
1|practice_id[A83634],-0.006,0.089,-0.182,0.165,0.001,0.001,28156.0,17771.0,1.0
1|practice_id[A83635],0.031,0.087,-0.138,0.205,0.001,0.001,28310.0,18987.0,1.0
1|practice_id[A83636],0.094,0.087,-0.078,0.262,0.0,0.001,32785.0,20080.0,1.0
1|practice_id[A83637],-0.558,0.089,-0.73,-0.381,0.001,0.001,31359.0,19370.0,1.0
1|practice_id[A83638],-0.73,0.163,-1.055,-0.417,0.001,0.001,25921.0,19221.0,1.0
1|practice_id[A83641],0.758,0.088,0.579,0.925,0.001,0.001,26889.0,18858.0,1.0
1|practice_id[A83644],-0.175,0.088,-0.351,-0.006,0.0,0.001,33917.0,19435.0,1.0
1|practice_id[A84002],0.16,0.089,-0.01,0.335,0.001,0.001,29040.0,19362.0,1.0
1|practice_id[A84003],0.672,0.087,0.5,0.844,0.001,0.001,29730.0,19467.0,1.0
1|practice_id[A84005],-0.247,0.089,-0.427,-0.077,0.001,0.001,29043.0,19029.0,1.0
1|practice_id[A84006],0.072,0.089,-0.1,0.247,0.001,0.001,28987.0,18800.0,1.0
1|practice_id[A84007],-0.138,0.088,-0.316,0.026,0.0,0.001,31490.0,20415.0,1.0
1|practice_id[A84008],-0.105,0.088,-0.277,0.067,0.0,0.001,32133.0,19924.0,1.0
1|practice_id[A84009],-0.007,0.088,-0.177,0.165,0.0,0.001,31945.0,18799.0,1.0
1|practice_id[A84011],-0.098,0.087,-0.272,0.07,0.0,0.001,32072.0,19100.0,1.0
1|practice_id[A84013],-0.59,0.089,-0.759,-0.414,0.001,0.001,28976.0,19440.0,1.0
1|practice_id[A84014],-0.199,0.087,-0.371,-0.029,0.001,0.001,27902.0,19347.0,1.0
1|practice_id[A84015],0.515,0.088,0.344,0.686,0.001,0.001,29171.0,19808.0,1.0
1|practice_id[A84018],0.055,0.089,-0.118,0.228,0.001,0.001,30988.0,19874.0,1.0
